,count,mean,std,min,25%,50%,75%,max
f1,47736.0,264.3472850678733,2178.505659926596,0.0,0.0,0.0,0.0,57715.0
f5,47736.0,17749.54365677895,1781219.8109386358,0.0,0.0,45.0,284.0,381709090.0
f6,47736.0,2813.7569549187197,66161.77884717462,0.0,0.0,36.0,599.0,5151385.0
f7,47736.0,0.0001885369532428356,0.013729725269430572,0.0,0.0,0.0,0.0,1.0
f8,47736.0,0.01650745768392827,0.2130640622274532,0.0,0.0,0.0,0.0,3.0
f9,47736.0,0.00035612535612535614,0.025481205576331167,0.0,0.0,0.0,0.0,3.0
f10,47736.0,0.15428607340372047,1.6906119317169133,0.0,0.0,0.0,0.0,101.0
f11,47736.0,0.010851349086643204,0.10892689100982303,0.0,0.0,0.0,0.0,4.0
f12,47736.0,0.41716943187531424,0.4930965326408829,0.0,0.0,0.0,1.0,1.0
f13,47736.0,0.1768686106921401,9.068051207612609,0.0,0.0,0.0,0.0,884.0
f14,47736.0,0.001969163733869616,0.04433201212235603,0.0,0.0,0.0,0.0,1.0
f15,47736.0,0.0008379420144126027,0.03828481530920783,0.0,0.0,0.0,0.0,2.0
f16,47736.0,0.18600217864923746,10.017284200409344,0.0,0.0,0.0,0.0,975.0
f17,47736.0,0.011898776604658958,0.603631367993284,0.0,0.0,0.0,0.0,100.0
f18,47736.0,0.0007331992626110274,0.03574004406078746,0.0,0.0,0.0,0.0,5.0
f19,47736.0,0.003959276018099547,0.08541382229915931,0.0,0.0,0.0,0.0,8.0
f20,47736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f21,47736.0,0.00023043405396346573,0.015178464361007069,0.0,0.0,0.0,0.0,1.0
f22,47736.0,0.01824618736383442,0.1338418442613997,0.0,0.0,0.0,0.0,1.0
f23,47736.0,81.9640522875817,121.44971965720019,0.0,2.0,11.0,136.0,511.0
f24,47736.0,29.31655354449472,80.7485586735753,0.0,2.0,7.0,17.0,511.0
f25,47736.0,0.19971782302664653,0.3939243434657303,0.0,0.0,0.0,0.0,1.0
f26,47736.0,0.19869469582704877,0.39477228491788713,0.0,0.0,0.0,0.0,1.0
f27,47736.0,0.17522289257583376,0.3727837531098346,0.0,0.0,0.0,0.0,1.0
f28,47736.0,0.17453221887045414,0.37407611702867816,0.0,0.0,0.0,0.0,1.0
f29,47736.0,0.6982388553712084,0.4288837321400479,0.0,0.12,1.0,1.0,1.0
f30,47736.0,0.07733890564772919,0.2208788478026087,0.0,0.0,0.0,0.06,1.0
f31,47736.0,0.09696015585721468,0.25515248002637636,0.0,0.0,0.0,0.0,1.0
f32,47736.0,187.88629126864421,96.84851617416149,0.0,99.0,255.0,255.0,255.0
f33,47736.0,127.19431875314228,111.92128545749026,0.0,12.0,98.0,255.0,255.0
f34,47736.0,0.5617896346572817,0.4449490801332345,0.0,0.05,0.76,1.0,1.0
f35,47736.0,0.08631724484665662,0.20374982511861342,0.0,0.0,0.02,0.07,1.0
f36,47736.0,0.14027819674878497,0.30746775089276046,0.0,0.0,0.0,0.04,1.0
f37,47736.0,0.026079897771074244,0.0996657797337698,0.0,0.0,0.0,0.01,1.0
f38,47736.0,0.19702090665325958,0.3856056368867152,0.0,0.0,0.0,0.02,1.0
f39,47736.0,0.19464031339031335,0.3881255652059226,0.0,0.0,0.0,0.0,1.0
f40,47736.0,0.17238666834255068,0.35144589002325766,0.0,0.0,0.0,0.02,1.0
f41,47736.0,0.16973311546840958,0.36323009428023134,0.0,0.0,0.0,0.0,1.0
difficulty,47736.0,18.793593933299817,3.465798359704888,0.0,18.0,20.0,21.0,21.0
label,47736.0,0.514831573655103,0.4997852109276044,0.0,0.0,1.0,1.0,1.0
